ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE2212,2025-09-11,42.49798,43.70452880859375,2025-09-01
VE2213,2025-09-11,39.510567,39.1046257019043,2025-09-01
VE2214,2025-09-11,44.65812,45.02159881591797,2025-09-01
VE23,2025-09-11,60.962864,64.52436828613281,2025-09-01
VE2301,2025-09-11,26.44814,36.45624542236328,2025-09-01
VE2302,2025-09-11,55.76606,57.933624267578125,2025-09-01
VE2303,2025-09-11,46.424217,46.37743377685547,2025-09-01
VE2304,2025-09-11,65.68268,77.97863006591797,2025-09-01
VE2305,2025-09-11,62.162796,63.938804626464844,2025-09-01
VE2306,2025-09-11,48.12081,60.21950149536133,2025-09-01
VE2307,2025-09-11,55.43492,55.83695983886719,2025-09-01
VE2308,2025-09-11,98.08953,121.49810028076172,2025-09-01
VE2309,2025-09-11,47.276325,45.24485397338867,2025-09-01
VE2310,2025-09-11,51.29045,49.537837982177734,2025-09-01
VE2311,2025-09-11,72.13317,89.4440689086914,2025-09-01
VE2312,2025-09-11,46.924366,48.858131408691406,2025-09-01
VE2313,2025-09-11,33.048634,40.32115173339844,2025-09-01
VE2314,2025-09-11,41.573704,42.684078216552734,2025-09-01
VE2315,2025-09-11,29.876978,38.706336975097656,2025-09-01
VE2316,2025-09-11,59.37727,61.45930099487305,2025-09-01
VE2317,2025-09-11,36.284893,43.77711868286133,2025-09-01
VE2318,2025-09-11,41.171333,41.917930603027344,2025-09-01
VE2319,2025-09-11,43.50658,42.70806121826172,2025-09-01
VE2320,2025-09-11,45.90188,56.215187072753906,2025-09-01
VE2321,2025-09-11,57.58429,57.67010498046875,2025-09-01
VE24,2025-09-11,30.333057,37.314815521240234,2025-09-01
VE2401,2025-09-11,30.333057,37.314815521240234,2025-09-01
